Year,Rnd,DT,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1982,1,,FrRnd,1,Cubs,Y,Shawon Dunston (minors)\dunstsh01,SS,11.5,1814,5927,150,0.269,0.712,,,,,,,HS,Thomas Jefferson HS (Brooklyn NY)
1981,1,,FrRnd,1,Mariners,Y,Mike Moore (minors)\mooremi01,RHP,28.5,451,1,0,0,0,450,161,176,4.39,1.42,2,4Yr,Oral Roberts University (Tulsa OK)
1980,1,,FrRnd,1,Mets,Y,Darryl Strawberry (minors)\strawda01,OF,42,1583,5418,335,0.259,0.862,,,,,,,HS,Crenshaw HS (Los Angeles CA)
1979,1,,FrRnd,1,Mariners,Y,Al Chambers (minors)\chambal01,OF,-0.5,57,120,2,0.208,0.618,,,,,,,HS,John Harris HS (Harrisburg PA)
1978,1,,FrRnd,1,Braves,Y,Bob Horner (minors)\hornebo01,3B,21.7,1020,3777,218,0.277,0.839,,,,,,,4Yr,Arizona State University (Tempe AZ)
1977,1,,FrRnd,1,White Sox,Y,Harold Baines (minors)\baineha01,1B,38.5,2830,9908,384,0.289,0.82,,,,,,,HS,St. Michael's HS (Easton MD)
1976,1,,FrRnd,1,Astros,Y,Floyd Bannister (minors)\bannifl01,LHP,26.9,431,80,0,0.175,0.383,431,134,143,4.06,1.33,0,4Yr,Arizona State University (Tempe AZ)
1975,1,,FrRnd,1,Angels,Y,Danny Goodwin (minors)\goodwda01,C,-1.7,252,636,13,0.236,0.674,,,,,,,4Yr,Southern University and A&M College (Baton Rouge LA)
1974,1,,FrRnd,1,Padres,Y,Bill Almon (minors)\almonbi01,SS,4.8,1236,3330,36,0.254,0.648,,,,,,,4Yr,Brown University (Providence RI)
1973,1,,FrRnd,1,Rangers,Y,David Clyde (minors)\clydeda01,LHP,0.7,85,0,0,,,84,18,33,4.63,1.53,0,HS,Westchester HS (Houston TX)
1972,1,,FrRnd,1,Padres,Y,Dave Roberts (minors)\roberda06,3B,0.4,709,2017,49,0.239,0.644,,,,,,,4Yr,University of Oregon (Eugene OR)
1971,1,,FrRnd,1,White Sox,N,Danny Goodwin (minors)\goodwda01,C,-1.7,252,636,13,0.236,0.674,,,,,,,HS,Peoria Central HS (Peoria IL)
1970,1,,FrRnd,1,Padres,Y,Mike Ivie (minors)\iviemi01,C,7.2,857,2694,81,0.269,0.744,,,,,,,HS,Walker HS (Atlanta GA)
1969,1,,FrRnd,1,Senators,Y,Jeff Burroughs (minors)\burroje01,OF,17.6,1689,5536,240,0.261,0.795,,,,,,,HS,Woodrow Wilson HS (Long Beach CA)
1968,1,,FrRnd,1,Mets,Y,Tim Foli (minors)\foliti01,SS,5.5,1696,6047,25,0.251,0.593,,,,,,,HS,Notre Dame HS (Sherman Oaks CA)
1967,1,,FrRnd,1,Yankees,Y,Ron Blomberg (minors)\blombro01,1B,9.4,461,1333,52,0.293,0.832,,,,,,,HS,Druid Hills HS (Atlanta GA)
1966,1,,FrRnd,1,Mets,Y,Steven Chilcott (minors),C,,,,,,,,,,,,,HS,Antelope Valley HS (Lancaster CA)
1965,1,,FrRnd,1,Athletics,Y,Rick Monday (minors)\mondari01,OF,33.1,1986,6136,241,0.264,0.804,,,,,,,4Yr,Arizona State University (Tempe AZ)
